"","game_type","Team","Name","season","Date","TOI","svH","svM","svL","saH","saM","saL","G.H","G.M","G.L","la.svH","la.svM","la.svL","lgsaa","mgsaa","hgsaa","adjgsaa60","adjgsaa","Game.Number"
"996","playoff_game","PHI","Brian.Boucher","20102011",2011-04-20,40.3,0.875,1,1,7,7,6,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.224988217013244,0.529695645999569,0.378645327212685,1.6873387447526,1.1333291902255,16
"997","playoff_game","PIT","Marc-Andre.Fleury","20102011",2011-04-20,70.9,0.7778,1,1,7,7,12,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,0.529695645999569,-0.621354672787315,0.303230527987652,0.358317407238742,66
"998","playoff_game","DET","Jimmy.Howard","20102011",2011-04-20,50.6,0.8333,1,0.9167,5,6,12,1,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.550023565973512,0.454024839428202,-0.0152533377052252,-0.131919443775337,-0.111252064250534,16
"999","playoff_game","WSH","Michal.Neuvirth","20102011",2011-04-20,72.4,0.8333,1,0.9286,10,8,14,2,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.475027493635763,0.605366452570936,-0.0305066754104504,0.0827339366226982,0.0998322835247225,4
"1000","playoff_game","NYR","Henrik.Lundqvist","20102011",2011-04-20,72.4,0.8421,0.875,1,17,8,18,3,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.674964651039733,-0.394633547429064,0.348138651802234,0.520831289016218,0.628469755412904,34
"1001","playoff_game","ANA","Ray.Emery","20102011",2011-04-20,40.2,0.6667,1,1,4,5,7,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.262486253182118,0.378354032856835,-1.21220267016418,-0.852779677798846,-0.571362384125227,34
"1002","playoff_game","PHX-ARI","Ilya.Bryzgalov","20102011",2011-04-20,50.6,0.75,0.8889,0.9375,7,9,16,2,1,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.400031421298015,-0.318962740857697,-0.621354672787315,-1.58934644459647,-1.34034883494303,32
"1003","playoff_game","NSH","Pekka.Rinne","20102011",2011-04-20,28.9,0.7778,0.8,1,8,5,6,2,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.224988217013244,-0.621645967143165,-0.42440534032836,-1.7046292535466,-0.821063090458281,10
"1004","playoff_game","CHI","Corey.Crawford","20102011",2011-04-21,43.8,1,1,1,6,5,19,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.712462687208607,0.378354032856835,1.18169599475373,3.11303111619065,2.27251271481917,6
"1005","playoff_game","BOS","Tim.Thomas","20102011",2011-04-21,57.4,0.8333,1,0.9412,10,6,17,2,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.362533385129141,0.454024839428202,-0.0305066754104504,0.0637471556326939,0.0609847788886105,22
